accion_id,eje_id,eje_completo,objetivo_estrategico,area_programa,titulo_accion,descripcion,indicadores,linea_base_2024,meta_2028,meta_2035,plazo_codigo,plazo_completo,responsable_principal,responsable_completo,financiamiento_principal,financiamiento_completo,ods_principal,ods_total_n,beneficia_nna,beneficia_mujeres,beneficia_adulto_mayor,beneficia_discapacidad,es_inclusiva
218,,,,,Promover reuniones con las Organizaciones Funcionales y Territoriales,"Instaurar un calendario formal y sistemático de reuniones entre la Municipalidad de Rengo y las organizaciones funcionales y territoriales de cada una de las 21 Unidades Vecinales del territorio comunal. Las reuniones incluirán levantamiento de necesidades, rendición de cuentas de compromisos anteri",N° reuniones por UV realizadas/año; % UVs con reunión mínima anual; N° de acuerdos implementados con seguimiento,Sin calendario sistemático de reuniones por Unidad Vecinal; instancias ad-hoc no formalizadas,21 UVs con reunión semestral garantizada; 42 reuniones/año con acta y seguimiento formal,Reuniones trimestrales por UV; plataforma digital de seguimiento de compromisos; 80% acuerdos implementados,C,Corto (2025-2028),DIDECO,DIDECO + Alcaldía + OLN,Municipal,Municipal,11,3,0,0,0,0,0
16,,,OE 1.3 Fomentar la Recreación y Vida en Comunidad,Deportes,Calistenia Universal en Zonas Recreativas (REVISAR),"Instalar espacios de calistenia inclusivos y accesibles en áreas verdes y plazas, diseñados para personas con y sin discapacidad, promoviendo ejercicio gratuito al aire libre.",Espacios de calistenia adaptados instalados; Participación de usuarios; Indicadores de inclusión,0 espacios de calistenia inclusivos,3 espacios instalados; 200 usuarios/semana,8 espacios; 500 usuarios/semana; 100% accesibilidad universal,M,Mediano (2028-2032),Depto. Deportes,Depto. Deportes + SECPLAN + DIDECO + OLN,FNDR,Municipal + FNDR + SENADIS,3,3,0,0,0,1,1
17,,,,Deportes,Campeonato Escolar Anual: Futuros Talentos Deportivos,"Organizar un campeonato deportivo anual interescolar que promueva la competencia sana, detecte talentos y fortalezca la convivencia entre establecimientos educacionales de Rengo.",Estudiantes participantes; Escuelas integradas; Talentos detectados; Índice de convivencia escolar,1 campeonato informal; 300 estudiantes,1 campeonato formal/año; 1.000 estudiantes; 15 escuelas,1 campeonato consolidado; 2.000 estudiantes; 20 escuelas; programa talentos,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes + DAEM,Municipal,Municipal + IND + MINEDUC,3,3,1,0,0,0,1
18,,,,Deportes,Escuelas Deportivas de Verano e Invierno,"Organizar escuelas deportivas municipales durante enero-febrero e invierno para niños y jóvenes de 6 a 17 años en recintos deportivos de Rengo, Rosario y localidades rurales, con disciplinas como fútbol, básquetbol, atletismo, natación y artes marciales, garantizando cobertura gratuita en las 21 uni",Participantes por temporada; Actividades ofrecidas; Satisfacción de padres y participantes,1 escuela de verano informal; 100 participantes,2 escuelas (verano/invierno); 400 participantes,2 escuelas consolidadas; 800 participantes; 10 disciplinas; 90% satisfacción,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes + DIDECO,Municipal,Municipal + IND + Privados,3,3,1,0,1,0,1
19,,,,Cultura y Turismo,"Eventos Comunitarios en Espacios Deportivos ""Teatro y Cine al Aire Libre""","Realizar funciones de teatro y cine al aire libre en recintos deportivos y plazas, ampliando el uso de infraestructura existente y democratizando el acceso a la cultura.",Eventos de teatro y cine realizados; Participación por evento; Satisfacción; Uso de espacios deportivos para cultura,0 eventos culturales regulares en espacios deportivos,12 eventos/año; 300 asistentes promedio,24 eventos/año; 500 asistentes promedio; 6 recintos utilizados,C,Corto (2025-2028),DIDECO,DIDECO + Depto. Deportes,Municipal,Municipal + CNCA + Fondart,4,3,1,0,0,0,1
20,,,,Deportes,Fútbol en Rengo: Torneo Regional,"Organizar un torneo regional de fútbol amateur que integre clubes locales y visitantes, fortaleciendo la tradición futbolística de Rengo.",Equipos participantes; Asistentes a partidos; Impacto económico local,Torneos informales sin apoyo municipal,1 torneo formal/año; 20 equipos; 2.000 espectadores,1 torneo consolidado; 32 equipos; 5.000 espectadores; $40M impacto,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes,Municipal,Municipal + IND + Privados,3,3,0,0,1,0,1
21,,,,Cultura y Turismo,Rengo en Movimiento: Domingos Deportivos para Todos,"Programar eventos deportivos y recreativos los domingos en plazas y parques, incluyendo actividades para todas las edades y capacidades, promoviendo vida sana y cohesión social.",Eventos dominicales realizados; Participación promedio; Diversidad etaria de participantes; Satisfacción,0 programas deportivos dominicales regulares,40 domingos/año; 200 participantes promedio,48 domingos/año; 500 participantes promedio,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes + DIDECO,Municipal,Municipal + IND + Dpto. Salud,3,3,0,1,1,1,1
22,,,,Deportes,Rugby en Rengo: Torneo Regional,"Organizar un torneo regional de rugby que promueve esta disciplina emergente, fomentando valores de respeto, trabajo en equipo y vida sana.",Equipos participantes; Participación de jugadores; Impacto en convivencia,0 torneos de rugby en Rengo,1 torneo/año; 8 equipos,1 torneo consolidado; 12 equipos; liga local operativa,M,Mediano (2028-2032),Depto. Deportes,Depto. Deportes,Municipal,Municipal + IND + Privados,3,3,1,0,0,0,1
23,,,,Deportes,Torneo Regional de Básquetbol,"Organizar un torneo regional de básquetbol en Rengo que posicione a la comuna como sede deportiva, generando actividad económica y promoviendo la disciplina.",Equipos participantes; Espectadores; Impacto económico estimado,0 torneos regionales de básquetbol,1 torneo/año; 16 equipos; 1.000 espectadores,1 torneo consolidado; 24 equipos; 3.000 espectadores; $30M impacto,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes,Municipal,Municipal + IND + Privados,3,3,0,0,0,0,0
24,,,,Deportes,Viviendo la Vida en Rengo: Actividad Física para Personas Mayores,"Desarrollar un programa de actividad física adaptada para los 8.796 adultos mayores de la comuna, con sesiones semanales de gimnasia funcional, newcom, pilates, yoga y caminatas guiadas en sedes comunitarias de las 21 unidades vecinales, articulado con CESFAM y monitores deportivos capacitados por M","Programas implementados; Participación mensual adultos mayores; Indicadores de salud (presión, IMC)",2 programas esporádicos; 80 participantes,6 programas permanentes; 400 participantes,10 programas; 800 participantes; 20% mejora indicadores salud,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes + Depto. Salud,Municipal,Municipal + IND + SENAMA,3,3,0,1,1,0,1
25,,,OE 1.4 Ampliar la Oferta Deportiva y la Infraestructura Asociada,Deportes,"Alianzas Deportivas con Entidades ""Bienvenidos al Rengo del Deporte""","Establecer convenios con federaciones deportivas, universidades, empresas y clubes para ampliar la oferta deportiva, captar recursos y profesionalizar la gestión del deporte comunal.",Alianzas formalizadas; Recursos obtenidos por alianzas; Impacto en oferta deportiva,0 convenios deportivos formales,5 alianzas; $50M en recursos externos,12 alianzas; $200M en recursos; 5 nuevas disciplinas,M,Mediano (2028-2032),Depto. Deportes,Depto. Deportes + SECPLAN,Municipal,Municipal + IND + Privados + Universidades,3,2,0,0,0,0,0
26,,,,Deportes,Apoyando las Disciplinas: Mejora Infraestructura Deportiva,"Mejorar y mantener las instalaciones deportivas existentes con reparaciones, equipamiento actualizado, iluminación y accesibilidad universal.",Instalaciones mejoradas; Disciplinas beneficiadas; Satisfacción de usuarios,Sin catastro de estado de instalaciones,Catastro completo; 5 instalaciones mejoradas,15 instalaciones mejoradas; 100% con accesibilidad; 85% satisfacción,M,Mediano (2028-2032),Depto. Deportes,Depto. Deportes + DOM,FNDR,Municipal + FNDR + IND,3,3,0,0,0,0,0
27,,,,Deportes,El Guerrero de Rengo: Complejo Deportivo Multifuncional,"Estudiar, Diseñar y Postular un complejo deportivo multifuncional con canchas techadas, gimnasio, piscina temperada y salas multiuso para la práctica deportiva de toda la comunidad.",Progreso de construccion (%); Usuarios mensuales; Satisfacción de usuarios,0% avance; sin complejo deportivo comunal,100% diseño; 30% construcción,100% construido; 3.000 usuarios/mes; 85% satisfacción,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + Depto. Deportes,FNDR,FNDR + GORE + IND + Municipal,3,3,0,0,0,0,0
28,,,,Deportes,FONDEPORTE: Becas para Atletas de Alto Rendimiento,"Otorgar becas municipales a atletas destacados de Rengo para financiar entrenamiento, competencias regionales y nacionales, equipamiento y apoyo técnico.",Becas otorgadas; Desempeño competitivo de becados; Talentos en selecciones regionales/nacionales,0 becas deportivas municipales,10 becas/año; 3 atletas en selecciones,20 becas/año; 8 atletas en selecciones; 2 atletas nivel nacional,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes + DAF,Municipal,Municipal + IND + FONDEPORTE,3,3,1,0,0,0,1
29,,,,Deportes,"Formulación de Proyectos ""Construir el Deporte en Rengo""","Desarrollar una cartera de proyectos de infraestructura deportiva con diseños, estudios de factibilidad y postulación a fondos sectoriales y regionales.",Proyectos aprobados por fondos; Espacios deportivos construidos; Participación de beneficiarios,0 proyectos deportivos en cartera FNDR,3 proyectos formulados; 1 aprobado,8 proyectos formulados; 5 aprobados y ejecutados,M,Mediano (2028-2032),SECPLAN,SECPLAN + Depto. Deportes,FNDR,Municipal + FNDR + IND + GORE,9,3,0,0,0,0,0
30,,,,Deportes,Estudiar la Construcción de Polideportivo de Rosario,"Estudiar la construcción de un polideportivo en la localidad de Rosario con canchas multiuso, gimnasio y espacios de recreación para descentralizar la oferta deportiva comunal.",Progreso de construcción (%); Actividades deportivas programadas; Participación mensual,0% avance; sin polideportivo en Rosario,100% diseño; 20% construcción,100% construido; 1.500 usuarios/mes; 8 disciplinas,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + Depto. Deportes,FNDR,FNDR + GORE + IND + Municipal,3,3,0,0,0,0,0
31,,,,Deportes,Rengo +Activo y +Vivo: Ciclovías y Espacios para Running,"Diseñar y construir ciclovías urbanas y circuitos de running en Rengo y Rosario, conectando barrios con áreas verdes y equipamiento deportivo, promoviendo transporte sustentable y vida activa.",Km de ciclovías construidos; Espacios de running habilitados; Participación de usuarios,0 km de ciclovías; 0 circuitos running,5 km ciclovías; 2 circuitos running,15 km ciclovías; 5 circuitos running; 2.000 usuarios/semana,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MINVU + Municipal + MOP,3,3,0,0,0,0,0
32,,,,Deportes,Vivimos el Deporte: Escuelas Deportivas Municipales,"Crear escuelas deportivas municipales en diversas disciplinas (fútbol, básquetbol, atletismo, natación, artes marciales) para niños y jóvenes, con entrenadores calificados.",Escuelas deportivas creadas; Participación de niños y jóvenes; Disciplinas ofrecidas,0 escuelas deportivas municipales formales,5 escuelas; 500 inscritos; 5 disciplinas,10 escuelas; 1.500 inscritos; 10 disciplinas,M,Mediano (2028-2032),Depto. Deportes,Depto. Deportes,FNDR,Municipal + IND + FNDR,3,3,1,0,0,0,1
33,,,"OE 1.4 Fortalecer programas de inclusión social para adultos mayores, personas con discapacidad y mi",Salud Recreación y Bienestar Social,"Atenciones Móviles Salud de la Mujer""Rengo Te Cuida""","Poner en operación una unidad móvil especializada en salud de la mujer que recorra las 12 unidades vecinales rurales y sectores periurbanos con menor acceso a servicios, ofreciendo mamografías, PAP, ecografías ginecológicas y controles preventivos coordinados con la red de salud primaria de Rengo.",Número de atenciones ginecológicas móviles; Cobertura de PAP y mamografía; Localidades atendidas,Atención de salud de la mujer concentrada en centros urbanos,1 unidad móvil + operativos mensuales en localidades rurales,2 unidades móviles + cobertura 100% localidades + telemedicina,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + Oficina de la Mujer,Municipal,Municipal + MINSAL + SERNAM + GORE,3,2,1,1,1,1,1
34,,,,Salud Recreación y Bienestar Social,"Atención Integral de Salud Adultos Mayores Rurales""Salud sin Barreras""","Crear programa especializado de atención integral para adultos mayores en sectores rurales, con equipos itinerantes de geriatría, kinesiología, salud mental y apoyo social.",Adultos mayores rurales atendidos; Frecuencia de visitas equipos itinerantes; Derivaciones oportunas a nivel secundario,Atención geriátrica rural limitada y fragmentada,Equipos itinerantes quincenales en 100% localidades rurales,Atención geriátrica semanal en terreno + tele geriatría + centros satélite,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + Oficina Adulto Mayor,Municipal,Municipal + SENAMA + MINSAL + GORE,3,2,0,0,1,0,1
35,,,,Salud Recreación y Bienestar Social,Capacitación Continua de Funcionarios de Salud,"Estructurar un programa anual de capacitación y desarrollo profesional para los funcionarios de la red de salud comunal de Rengo, abarcando competencias clínicas actualizadas, gestión sanitaria, tecnologias de informacion en salud y atención centrada en el usuario, con certificación SENCE y seguimie",Horas de capacitación por funcionario/año; Porcentaje de funcionarios capacitados; Evaluación de competencias post-capacitación,Capacitación esporádica sin plan estructurado,Plan anual de capacitación + 40 hrs/funcionario/año + evaluación,Sistema de desarrollo profesional continuo + certificación de competencias,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + RRHH,Municipal,Municipal + MINSAL + Servicio Salud O'Higgins,3,2,0,0,0,0,0
36,,,,Salud Recreación y Bienestar Social,"Capacitación a Cuidadores""Cuidando al Cuidador""","Crear un programa de formación y apoyo integral dirigido a cuidadores de los 8.796 adultos mayores de la comuna, entregando técnicas de cuidado, manejo del estrés y autocuidado a través de talleres presenciales en sedes vecinales y módulos en línea, con apoyo psicológico y redes de soporte mutuo art",Cuidadores capacitados; Talleres de autocuidado realizados; Índice de sobrecarga del cuidador (Zarit),Apoyo aislado a cuidadores sin programa formal,200 cuidadores capacitados + programa de autocuidado mensual,500 cuidadores en programa + red de apoyo mutuo + respiro programado,C,Corto (2025-2028),Oficina Adulto Mayor,Oficina Adulto Mayor + Depto. Salud,Municipal,Municipal + SENAMA + MINSAL,3,3,0,1,1,0,1
37,,,,Salud Recreación y Bienestar Social,"Centros de Día para Adultos Mayores""Rengo Acompaña""","Crear centros de día para adultos mayores que ofrezcan actividades de estimulación cognitiva, socialización, alimentación, cuidados básicos y respiro para familias cuidadoras durante jornada diurna.",Número de centros de día operativos; Adultos mayores atendidos diariamente; Satisfacción de usuarios y familias,0 centros de día para adultos mayores en la comuna,1 centro de día operativo + 40 adultos mayores atendidos diariamente,3 centros de día + cobertura territorial + 120 adultos mayores atendidos,M,Mediano (2028-2032),Oficina Adulto Mayor,Oficina Adulto Mayor + SECPLAN,FNDR,Municipal + SENAMA + FNDR + GORE,3,3,0,0,1,0,1
38,,,,Salud Recreación y Bienestar Social,Continuidad de Atención de Salud en Sectores Rurales,"Garantizar la continuidad y mejora de la atención de salud primaria en sectores rurales de Rengo, fortaleciendo postas rurales, rondas médicas y servicios móviles para reducir brechas de acceso territorial.",Número de consultas realizadas en postas rurales; Porcentaje de cobertura rural atendida; Frecuencia de rondas médicas mensuales,3 postas rurales operativas con atención parcial,5 postas rurales + rondas médicas semanales en 100% localidades,8 postas rurales equipadas + cobertura 100% población rural,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + SECPLAN,Municipal,"Municipal + MINSAL + GORE O""Higgins",3,2,0,0,0,0,0
39,,,,Salud Recreación y Bienestar Social,"Convenios Docente Asistencial""Salud y Educación en Sinergia""","Establecer convenios docente-asistenciales con universidades e institutos para que estudiantes de carreras de salud realicen prácticas clínicas en la red de salud comunal, fortaleciendo capacidad resolutiva.",Número de convenios vigentes; Estudiantes en práctica por año; Horas de atención adicional generadas,1 convenio docente-asistencial vigente,4 convenios con universidades + 30 estudiantes anuales,8 convenios + programa permanente + investigación aplicada en salud comunal,M,Mediano (2028-2032),Depto. Salud Municipal,Depto. Salud Municipal + SECPLAN,Municipal,Municipal + Universidades + MINSAL,3,3,0,0,0,0,0
40,,,,Salud Recreación y Bienestar Social,Salud en el Territorio: Servicios Móviles de Salud en Localidades,"Desplegar unidades móviles de salud hacia localidades rurales y periurbanas, ofreciendo atención médica, dental, kinesiología, salud mental y exámenes preventivos directamente en terreno.",Número de operativos móviles realizados por mes; Localidades cubiertas; Atenciones realizadas en terreno,Operativos móviles esporádicos sin programación fija,2 unidades móviles + operativos semanales en 100% localidades,4 unidades móviles + cobertura permanente + telemedicina rural,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + SECPLAN,Municipal,"Municipal + MINSAL + GORE O""Higgins",3,2,0,0,0,0,0
